tp,time.s,gas,v2.mV,v3.mV
4779,1000.4829711914062,H2,141.4606621627804,42.093539503695986
4780,1000.6920166015625,H2,142.36971522244667,42.32829447759201
4781,1000.9010009765625,H2,143.2386038527561,42.353107139997626
4782,1001.1099853515625,H2,143.95889340120883,42.63447607639992
4783,1001.3189697265625,H2,144.51665064909315,42.72416080264085
4784,1001.5280151367188,H2,144.90974123532862,42.73243624442491
4785,1001.7369995117188,H2,145.13114328872888,42.953898018099125
4786,1001.9459838867188,H2,145.1237607711351,43.146821161762496
4787,1002.155029296875,H2,144.90974123532862,43.194440738439475
4788,1002.364013671875,H2,144.5731895693565,43.08023283313367
4789,1002.572998046875,H2,144.10871754187903,42.82969159266903
4790,1002.781982421875,H2,143.50923221245148,42.584801522670304
4791,1002.9910278320312,H2,142.88791542282863,42.45858629000276
4792,1003.2000122070312,H2,142.21635682627831,42.299349240780934
4793,1003.4089965820312,H2,141.57807232958618,42.464792223590784
4794,1003.6179809570312,H2,141.01586478520966,42.44617484880142
4795,1003.8270263671875,H2,140.48310725804603,42.07699877186422
4796,1004.0360107421875,H2,140.10905208571646,42.14316775635696
4797,1004.2449951171875,H2,139.84468270950856,41.967441913674186
4798,1004.4539794921875,H2,139.7226787886646,41.5258826490531
4799,1004.6630249023438,H2,139.73731680249568,41.04093415603338
4800,1004.8720092773438,H2,139.8934973088235,40.96666692086537
4801,1005.0809936523438,H2,140.17007645813874,41.404066630827295
4802,1005.2899780273438,H2,140.54415751285853,41.946775774168835
4803,1005.4990234375,H2,141.00364490399718,42.239401077998615
4804,1005.7080078125,H2,141.54382325801308,42.73657405995546
4805,1005.9169921875,H2,142.17471729056618,42.69106155898606
4806,1006.1259765625,H2,142.87811145381002,42.81106553002001
4807,1006.3350219726562,H2,143.67859935536777,42.99738369653927
4808,1006.5440063476562,H2,144.61252684296244,43.159242855073664
4809,1006.7529907226562,H2,145.80640487438467,43.38707463278468
4810,1006.9619750976562,H2,147.30534127005313,43.977817528576765
4811,1007.1710205078125,H2,149.29616676900315,44.7505681038296
4812,1007.3800048828125,H2,151.88551213040756,45.97229798548141
4813,1007.5889892578125,H2,155.31361641610653,47.40978458067169
4814,1007.7979736328125,H2,159.8218099713187,48.787232662900635
4815,1008.0070190429688,H2,165.68188316020206,50.88331948182656
4816,1008.2160034179688,H2,173.1117594340522,53.192219287111044
4817,1008.4249877929688,H2,182.50016204612785,56.24192090783253
4818,1008.6339721679688,H2,194.10544300707832,60.16613335672527
4819,1008.843017578125,H2,208.14239857265937,65.21192111052233
4820,1009.052001953125,H2,224.87666135439943,70.70441230318569
4821,1009.260986328125,H2,244.57537276436713,76.92234339180747
4822,1009.469970703125,H2,267.3858168035569,84.25021540056876
4823,1009.6790161132812,H2,293.34202958250376,92.92305345840002
4824,1009.8880004882812,H2,322.51899661265213,101.99502007603346
4825,1010.0969848632812,H2,354.8548892169091,111.57443952515511
4826,1010.3060302734375,H2,390.2515783249728,121.94508201096532
4827,1010.5150146484375,H2,428.51395821496527,133.3324437768535
4828,1010.7239990234375,H2,469.4688797629806,145.31503193213234
4829,1010.9329833984375,H2,512.8021240234375,157.70409797312757
4830,1011.1420288085938,H2,558.3806585225389,170.42537202409335
4831,1011.3510131835938,H2,605.8361455890484,183.61497889088474
4832,1011.5599975585938,H2,655.0812132214132,196.51826679939134
4833,1011.7689819335938,H2,705.8521736808578,210.36542341593278
4834,1011.97802734375,H2,758.0373282891073,223.45519915511102
